game_id,event_idx,period,period_time,eventType,x,y,empty_net,raw_shot_type,game_seconds,last_eventType,last_x,last_y,last_game_seconds,time_since_last_event,dist_from_last_event,shot_distance,shot_angle,shotType,is_goal,isRebound,angle_change_on_rebound,play_speed
2016021178,580,3,18:34,goal,6.0,16.0,0,wrist,3514,missed-shot,58.0,17.0,3472.0,42.0,52.009614495783374,84.52810183601665,10.911128384283383,wrist,1,1,17.82866690740466,1.238324154661509
2017020054,652,3,17:59,goal,6.0,35.0,0,wrist,3479,faceoff,69.0,22.0,3472.0,7.0,64.32728814430156,90.07774419910837,22.864508121899647,wrist,1,0,0.0,9.18961259204308
2017020069,650,3,19:21,goal,0.0,-9.0,0,wrist,3561,hit,58.0,-39.0,3524.0,37.0,65.29931086925804,89.45389874119518,5.774325902663275,wrist,1,0,0.0,1.7648462397096767
2017020078,611,3,19:36,goal,17.0,-39.0,0,slap,3576,faceoff,20.0,22.0,3550.0,26.0,61.07372593840988,81.88406438373708,28.44292862436335,slap,1,0,0.0,2.3489894591696108
2017020113,716,3,18:21,goal,6.0,26.0,0,wrist,3501,shot-on-goal,78.0,-36.0,3491.0,10.0,95.01578816175764,86.97700845625813,17.393322146912038,wrist,1,1,55.6158545611018,9.501578816175762
2017020120,650,3,18:57,goal,5.0,36.0,0,backhand,3537,shot-on-goal,74.0,2.0,3503.0,34.0,76.92203845452875,91.3892772703669,23.19859051364819,backhand,1,1,15.603947145056743,2.262412895721434
2017020174,636,3,19:41,goal,9.0,-23.0,0,wrist,3581,shot-on-goal,67.0,-1.0,3570.0,11.0,62.03224967708329,83.24061508662703,16.039943306049665,wrist,1,1,13.43738110354986,5.63929542518939
2017020178,645,3,18:46,goal,6.0,-33.0,0,wrist,3526,blocked-shot,74.0,-5.0,3523.0,3.0,73.53910524340094,89.31965069345043,21.68229161324493,wrist,1,1,3.247342790322925,24.513035081133648
2017020181,645,3,18:11,goal,7.0,12.0,0,wrist,3491,hit,85.0,39.0,3482.0,9.0,82.54089895318563,82.87339742040264,8.325650330426836,wrist,1,0,0.0,9.171210994798404
2017020192,622,3,18:05,goal,9.0,1.0,0,wrist,3485,missed-shot,49.0,33.0,3471.0,14.0,51.22499389946279,80.00624975587844,0.7161599454704085,wrist,1,1,38.80647132570071,3.6589281356759136
2017020211,448,3,05:20,goal,10.0,38.0,0,wrist,2720,faceoff,20.0,-22.0,2713.0,7.0,60.8276253029822,87.66413177577246,25.688143435647348,wrist,1,0,0.0,8.689660757568886
2017020223,617,3,19:40,goal,5.0,15.0,0,wrist,3580,blocked-shot,71.0,-9.0,3571.0,9.0,70.22819946431775,85.32877591996736,10.124671655397815,wrist,1,1,16.44037952168017,7.803133273813084
2017020237,705,3,19:25,goal,17.0,39.0,0,wrist,3565,giveaway,52.0,42.0,3544.0,21.0,35.12833614050059,81.88406438373708,28.44292862436335,wrist,1,0,0.0,1.6727779114524093
2017020239,675,3,17:37,goal,0.0,3.0,0,wrist,3457,takeaway,37.0,10.0,3455.0,2.0,37.65634076752546,89.05054744357274,1.930587441166992,wrist,1,0,0.0,18.82817038376273
2017020259,639,3,19:43,goal,6.0,-38.0,0,backhand,3583,blocked-shot,58.0,21.0,3578.0,5.0,78.64477096412705,91.28526715741155,24.599790605157462,backhand,1,1,9.514682340183796,15.728954192825409
2017020260,664,3,18:19,goal,4.0,-27.0,0,wrist,3499,shot-on-goal,62.0,23.0,3475.0,24.0,76.57675887630658,89.1852005660132,17.622297228668277,wrist,1,1,22.80378151143086,3.190698286512774
2017020326,36,1,02:26,goal,4.0,-35.0,0,wrist,146,hit,76.0,-38.0,137.0,9.0,72.06247289678588,91.92388155425118,22.380135051959574,wrist,1,0,0.0,8.006941432976209
2017020331,633,3,19:12,goal,6.0,37.0,0,wrist,3552,faceoff,20.0,22.0,3547.0,5.0,20.518284528683196,90.87353850269064,24.0265065786792,wrist,1,0,0.0,4.103656905736639
2017020391,585,3,19:31,goal,5.0,-35.0,0,wrist,3571,shot-on-goal,39.0,-18.0,3565.0,6.0,38.01315561749642,91.0,22.619864948040423,wrist,1,1,2.8209885935154944,6.335525936249404
2017020394,646,3,18:52,goal,14.0,36.0,0,backhand,3532,missed-shot,50.0,20.0,3523.0,9.0,39.395431207184416,83.19254774317228,25.641005824305285,backhand,1,1,1.508675873477884,4.377270134131602
2017020408,614,3,17:57,goal,7.0,-11.0,0,wrist,3477,takeaway,17.0,-3.0,3465.0,12.0,12.806248474865695,82.73451516749222,7.640406761026755,wrist,1,0,0.0,1.0671873729054748
2017020408,631,3,19:08,goal,7.0,30.0,0,wrist,3548,faceoff,69.0,22.0,3524.0,24.0,62.51399843235114,87.31551981177229,20.095231191904816,wrist,1,0,0.0,2.604749934681297
2017020429,599,3,18:25,goal,14.0,-33.0,0,wrist,3505,blocked-shot,80.0,-5.0,3498.0,7.0,71.69379331573968,81.93900170248598,23.74949449286676,wrist,1,1,5.305109606210387,10.241970473677098
2017020431,674,4,01:29,goal,17.0,37.0,0,wrist,3689,shot-on-goal,75.0,-14.0,3667.0,22.0,77.23341245859851,80.95060222135473,27.19812794850912,wrist,1,1,17.80187205149088,3.5106096572090237
2017020453,615,3,19:36,goal,2.0,-38.0,0,backhand,3576,faceoff,69.0,22.0,3424.0,152.0,89.9388681271896,94.93682109698008,23.594820569881477,backhand,1,0,0.0,0.591703079784142
2017020462,638,3,18:31,goal,0.0,-32.0,0,wrist,3511,blocked-shot,66.0,-20.0,3506.0,5.0,67.08203932499369,94.57801012920498,19.7760766026392,wrist,1,1,21.233010298931024,13.416407864998735
2017020468,658,3,19:44,goal,8.0,16.0,0,wrist,3584,missed-shot,49.0,-18.0,3565.0,19.0,53.2634959423431,82.56512580987206,11.173838241814732,wrist,1,1,13.053907076139438,2.803341891702269
2017020478,299,2,03:05,goal,7.0,-1.0,0,slap,1385,blocked-shot,70.0,9.0,1366.0,19.0,63.788713735268246,82.00609733428362,0.6986943829834713,slap,1,1,24.647481558963214,3.357300722908855
2017020498,673,3,19:49,goal,8.0,12.0,0,wrist,3589,giveaway,2.0,7.0,3585.0,4.0,7.810249675906654,81.88406438373708,8.426969021480673,wrist,1,0,0.0,1.9525624189766635
2017020504,636,3,19:54,goal,2.0,-32.0,0,wrist,3594,stoppage,0.0,0.0,3585.0,9.0,0.0,92.69843580125828,20.194334245183978,wrist,1,0,0.0,0.0
2017020543,686,3,19:46,goal,1.0,-31.0,0,wrist,3586,faceoff,69.0,-22.0,3572.0,14.0,68.59300255857006,93.30058949438636,19.405970754001174,wrist,1,0,0.0,4.899500182755005
2017020608,569,3,16:55,goal,5.0,36.0,0,wrist,3415,shot-on-goal,66.0,-12.0,3391.0,24.0,77.62087348130012,91.3892772703669,23.19859051364819,wrist,1,1,4.3542210630696125,3.2342030617208386
2017020615,706,3,19:55,goal,5.0,-26.0,0,backhand,3595,faceoff,69.0,22.0,3584.0,11.0,80.0,87.93179174792243,17.198541220065866,backhand,1,0,0.0,7.272727272727272
2017020646,627,3,16:48,goal,16.0,-35.0,0,wrist,3408,blocked-shot,71.0,-1.0,3405.0,3.0,64.66065264130884,80.95677859203639,25.615484320642167,wrist,1,1,22.43565420077793,21.55355088043628
2017020662,599,3,19:54,goal,7.0,-30.0,0,snap,3594,shot-on-goal,46.0,-20.0,3589.0,5.0,40.26164427839479,87.31551981177229,20.095231191904816,snap,1,1,4.848674071519763,8.052328855678958
2017020694,623,3,19:59,goal,11.0,32.0,0,wrist,3599,giveaway,15.0,39.0,3596.0,3.0,8.06225774829855,84.30895563343196,22.306205054907643,wrist,1,0,0.0,2.6874192494328497
2017020710,608,3,19:59,goal,1.0,27.0,0,wrist,3599,faceoff,69.0,-22.0,3588.0,11.0,83.81527307120105,92.04890004774636,17.056965576617063,wrist,1,0,0.0,7.619570279200095
2017020716,505,3,08:34,goal,15.0,-35.0,0,slap,2914,faceoff,69.0,-22.0,2884.0,30.0,55.54277630799526,81.85963596303125,25.312883801874136,slap,1,0,0.0,1.8514258769331755
2017020725,599,3,19:42,goal,5.0,17.0,0,wrist,3582,faceoff,69.0,-22.0,3574.0,8.0,74.94664769020693,85.70297544426332,11.441043868767425,wrist,1,0,0.0,9.368330961275866
2017020736,618,3,17:34,goal,13.0,36.0,0,wrist,3454,faceoff,69.0,-22.0,3431.0,23.0,80.62257748298549,84.09518416651456,25.34617594194669,wrist,1,0,0.0,3.505329455781978
2017020742,618,3,17:39,goal,16.0,33.0,0,backhand,3459,faceoff,69.0,-22.0,3451.0,8.0,76.38062581571324,80.11242100947892,24.32557523912611,backhand,1,0,0.0,9.547578226964156
2017020854,650,3,19:17,goal,13.0,-33.0,0,backhand,3557,faceoff,20.0,22.0,3518.0,39.0,55.44366510251645,82.85529554590944,23.47099311816088,backhand,1,0,0.0,1.4216324385260628
2017020865,606,3,19:52,goal,11.0,-37.0,0,wrist,3592,faceoff,69.0,22.0,3582.0,10.0,82.73451516749222,86.33075929238663,25.377743861349163,wrist,1,0,0.0,8.273451516749223
2017020947,168,1,16:24,goal,7.0,26.0,0,wrist,984,faceoff,69.0,22.0,963.0,21.0,62.12889826803627,86.02325267042627,17.5924245621816,wrist,1,0,0.0,2.958518965144584
2017021023,606,3,17:39,goal,7.0,30.0,0,wrist,3459,blocked-shot,70.0,-3.0,3454.0,5.0,71.11961754677819,87.31551981177229,20.095231191904816,wrist,1,1,11.122604577008422,14.223923509355638
2017021030,626,3,18:19,goal,10.0,-35.0,0,wrist,3499,shot-on-goal,37.0,14.0,3492.0,7.0,55.94640292279746,86.4060183089118,23.89516141507037,wrist,1,1,8.826673255578154,7.992343274685352
2017021043,609,3,19:45,goal,9.0,-33.0,0,snap,3585,shot-on-goal,58.0,-38.0,3523.0,62.0,49.25444142409901,86.53900854527974,22.416147479343643,snap,1,1,28.37664901568852,0.794426474582242
2017021054,617,3,18:11,goal,1.0,38.0,0,wrist,3491,hit,7.0,41.0,3462.0,29.0,6.708203932499369,95.85405573057407,23.355564859286005,wrist,1,0,0.0,0.2313173769827368
2017021058,643,3,17:27,goal,7.0,36.0,0,wrist,3447,blocked-shot,78.0,5.0,3445.0,2.0,77.47257579298626,89.55445270895244,23.702645950966243,wrist,1,1,0.7413088294502934,38.73628789649313
2017021061,637,3,19:16,goal,3.0,23.0,0,wrist,3556,blocked-shot,72.0,1.0,3530.0,26.0,72.42237223399962,89.02246907382428,14.97287576678692,wrist,1,1,11.60641510335712,2.785475855153832
2017021070,608,3,18:26,goal,5.0,16.0,0,wrist,3506,giveaway,79.0,38.0,3482.0,24.0,77.20103626247513,85.5102333057278,10.7842978675626,wrist,1,0,0.0,3.216709844269797
2017021071,695,3,18:26,goal,0.0,-41.0,0,wrist,3506,hit,90.0,-31.0,3501.0,5.0,90.55385138137416,97.9897953870708,24.734302529052496,wrist,1,0,0.0,18.110770276274835
2017021097,656,3,19:26,goal,4.0,24.0,0,wrist,3566,faceoff,0.0,0.0,3544.0,22.0,24.33105012119288,88.32326986700618,15.76718254247568,wrist,1,0,0.0,1.1059568236905852
2017021099,684,3,19:10,goal,6.0,-36.0,0,snap,3550,faceoff,69.0,-22.0,3536.0,14.0,64.53681120105021,90.47098982546837,23.448062577957817,snap,1,0,0.0,4.609772228646444
2017021103,663,3,18:10,goal,0.0,39.0,0,wrist,3490,faceoff,69.0,22.0,3479.0,11.0,71.06335201775947,97.16995420396162,23.663140708194348,wrist,1,0,0.0,6.460304728887224
2017021138,98,1,08:27,goal,3.0,40.0,0,deflected,507,faceoff,0.0,0.0,499.0,8.0,40.11234224026316,94.847245611035,24.94390526342458,deflected,1,0,0.0,5.014042780032895
